Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Subtask,WMSF-247,10448,Biểu đồ UseCase Chi Tiết,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,25/Apr/26 7:51 PM,25/Apr/26 7:55 PM,
Subtask,WMSF-246,10446,Biểu đồ UseCase Tổng Quan,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,25/Apr/26 7:50 PM,25/Apr/26 7:55 PM,
Task,WMSF-245,10444,Sửa biểu đồ UseCase,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,25/Apr/26 7:50 PM,25/Apr/26 7:50 PM,
Task,WMSF-244,10442,Sửa biểu đồ ERD,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,25/Apr/26 7:47 PM,25/Apr/26 7:55 PM,
Task,WMSF-243,10440,Khởi tạo Axios Instance cho Mobile App với Base URL từ biến môi trường .env,dung nguyentien,712020:1603fac4-982b-4df2-b1d2-dd62fc18f3f7,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,25/Apr/26 3:08 PM,28/Apr/26 12:13 AM,
Task,WMSF-242,10439,Khởi tạo cấu trúc React Navigation (Auth Stack cho Đăng nhập và Main Tabs cho Dashboard),dung nguyentien,712020:1603fac4-982b-4df2-b1d2-dd62fc18f3f7,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,25/Apr/26 3:07 PM,28/Apr/26 12:13 AM,
Task,WMSF-241,10438,Viết API /refresh-token để cấp lại Access Token mới khi client gửi đúng Refresh Token còn hạn,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,19/Apr/26 9:20 PM,26/Apr/26 6:45 PM,
Task,WMSF-240,10437,Quay video kịch bản Demo End-to-End dự phòng trên Web và Mobile,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:07 PM,19/Apr/26 8:12 PM,
Task,WMSF-239,10436,Build file cài đặt .apk Android không chứa mã debug,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:07 PM,19/Apr/26 8:12 PM,
Task,WMSF-238,10435,Làm slide thuyết trình,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:06 PM,19/Apr/26 8:12 PM,
Task,WMSF-237,10434,Làm file báo cáo,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:06 PM,19/Apr/26 8:12 PM,
Task,WMSF-236,10433,Viết tài liệu Hướng dẫn sử dụng (User Manual) cho Mobile App,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:05 PM,19/Apr/26 8:12 PM,
Task,WMSF-235,10432,Viết tài liệu Hướng dẫn sử dụng (User Manual) cho Web Admin,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:05 PM,19/Apr/26 8:12 PM,
Task,WMSF-234,10431,"Viết script tự động insert bộ Seed Data (100 sản phẩm, 10 phiếu nhập/xuất)",,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:05 PM,19/Apr/26 8:12 PM,
Task,WMSF-233,10430,Cập nhập và tổng hợp các sơ đồ thiết kế,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:04 PM,19/Apr/26 8:16 PM,
